Instance,Terminal,Layer,X location,Y location,Voltage
fanout30,VGND,li1,49.2200,48.9600,0.000024
output29,VGND,li1,37.2600,10.8800,0.000017
output28,VGND,li1,51.9800,21.7600,0.000024
output27,VGND,li1,30.3600,10.8800,0.000016
output26,VGND,li1,26.6800,10.8800,0.000014
output25,VGND,li1,28.5200,10.8800,0.000015
output24,VGND,li1,30.3600,54.4000,0.000014
output23,VGND,li1,7.8200,43.5200,0.000028
output22,VGND,li1,9.6600,43.5200,0.000027
output21,VGND,li1,14.7200,38.0800,0.000021
output20,VGND,li1,51.9800,32.6400,0.000015
input19,VGND,li1,48.9900,48.9600,0.000024
input18,VGND,li1,50.3700,48.9600,0.000024
input17,VGND,li1,45.3100,38.0800,0.000024
input16,VGND,li1,50.8300,32.6400,0.000015
input15,VGND,li1,46.2300,10.8800,0.000017
input14,VGND,li1,20.4700,10.8800,0.000011
input13,VGND,li1,7.5900,21.7600,0.000013
input12,VGND,li1,38.1800,54.4000,0.000017
input11,VGND,li1,20.4700,54.4000,0.000011
input10,VGND,li1,9.2000,38.0800,0.000022
input9,VGND,li1,52.2100,32.6400,0.000015
input8,VGND,li1,50.3700,21.7600,0.000024
input7,VGND,li1,52.2100,16.3200,0.000019
input6,VGND,li1,23.9200,10.8800,0.000011
input5,VGND,li1,7.8200,27.2000,0.000014
input4,VGND,li1,33.5800,54.4000,0.000016
input3,VGND,li1,27.1400,54.4000,0.000012
input2,VGND,li1,7.8200,32.6400,0.000013
input1,VGND,li1,50.6000,38.0800,0.000025
TAP_TAPCELL_ROW_16_61,VGND,li1,44.3900,54.6910,0.000017
TAP_TAPCELL_ROW_16_60,VGND,li1,31.5100,54.6910,0.000015
TAP_TAPCELL_ROW_16_59,VGND,li1,18.6300,54.6910,0.000011
TAP_TAPCELL_ROW_15_58,VGND,li1,31.5100,54.1080,0.000015
TAP_TAPCELL_ROW_14_57,VGND,li1,44.3900,49.2510,0.000022
TAP_TAPCELL_ROW_14_56,VGND,li1,18.6300,49.2510,0.000014
TAP_TAPCELL_ROW_13_55,VGND,li1,31.5100,48.6680,0.000016
TAP_TAPCELL_ROW_12_54,VGND,li1,44.3900,43.8110,0.000024
TAP_TAPCELL_ROW_12_53,VGND,li1,18.6300,43.8110,0.000021
TAP_TAPCELL_ROW_11_52,VGND,li1,31.5100,43.2280,0.000018
TAP_TAPCELL_ROW_10_51,VGND,li1,44.3900,38.3710,0.000024
TAP_TAPCELL_ROW_10_50,VGND,li1,18.6300,38.3710,0.000019
TAP_TAPCELL_ROW_9_49,VGND,li1,31.5100,37.7880,0.000018
TAP_TAPCELL_ROW_8_48,VGND,li1,44.3900,32.9310,0.000014
TAP_TAPCELL_ROW_8_47,VGND,li1,18.6300,32.9310,0.000010
TAP_TAPCELL_ROW_7_46,VGND,li1,31.5100,32.3480,0.000010
TAP_TAPCELL_ROW_6_45,VGND,li1,44.3900,27.4910,0.000013
TAP_TAPCELL_ROW_6_44,VGND,li1,18.6300,27.4910,0.000011
TAP_TAPCELL_ROW_5_43,VGND,li1,31.5100,26.9080,0.000010
TAP_TAPCELL_ROW_4_42,VGND,li1,44.3900,22.0510,0.000021
TAP_TAPCELL_ROW_4_41,VGND,li1,18.6300,22.0510,0.000012
TAP_TAPCELL_ROW_3_40,VGND,li1,31.5100,21.4680,0.000013
TAP_TAPCELL_ROW_2_39,VGND,li1,44.3900,16.6110,0.000019
TAP_TAPCELL_ROW_2_38,VGND,li1,18.6300,16.6110,0.000012
TAP_TAPCELL_ROW_1_37,VGND,li1,31.5100,16.0280,0.000013
TAP_TAPCELL_ROW_0_36,VGND,li1,44.3900,11.1710,0.000017
TAP_TAPCELL_ROW_0_35,VGND,li1,31.5100,11.1710,0.000016
TAP_TAPCELL_ROW_0_34,VGND,li1,18.6300,11.1710,0.000011
PHY_EDGE_ROW_16_Left_33,VGND,li1,6.2100,54.4000,0.000011
PHY_EDGE_ROW_15_Left_32,VGND,li1,6.2100,54.4000,0.000011
PHY_EDGE_ROW_14_Left_31,VGND,li1,6.2100,48.9600,0.000014
PHY_EDGE_ROW_13_Left_30,VGND,li1,6.2100,48.9600,0.000014
PHY_EDGE_ROW_12_Left_29,VGND,li1,6.2100,43.5200,0.000028
PHY_EDGE_ROW_11_Left_28,VGND,li1,6.2100,43.5200,0.000028
PHY_EDGE_ROW_10_Left_27,VGND,li1,6.2100,38.0800,0.000022
PHY_EDGE_ROW_9_Left_26,VGND,li1,6.2100,38.0800,0.000022
PHY_EDGE_ROW_8_Left_25,VGND,li1,6.2100,32.6400,0.000013
PHY_EDGE_ROW_7_Left_24,VGND,li1,6.2100,32.6400,0.000013
PHY_EDGE_ROW_6_Left_23,VGND,li1,6.2100,27.2000,0.000014
PHY_EDGE_ROW_5_Left_22,VGND,li1,6.2100,27.2000,0.000014
PHY_EDGE_ROW_4_Left_21,VGND,li1,6.2100,21.7600,0.000013
PHY_EDGE_ROW_3_Left_20,VGND,li1,6.2100,21.7600,0.000013
PHY_EDGE_ROW_2_Left_19,VGND,li1,6.2100,16.3200,0.000012
PHY_EDGE_ROW_1_Left_18,VGND,li1,6.2100,16.3200,0.000012
PHY_EDGE_ROW_0_Left_17,VGND,li1,6.2100,10.8800,0.000011
PHY_EDGE_ROW_16_Right_16,VGND,li1,53.5900,54.4000,0.000017
PHY_EDGE_ROW_15_Right_15,VGND,li1,53.5900,54.4000,0.000017
PHY_EDGE_ROW_14_Right_14,VGND,li1,53.5900,48.9600,0.000024
PHY_EDGE_ROW_13_Right_13,VGND,li1,53.5900,48.9600,0.000024
PHY_EDGE_ROW_12_Right_12,VGND,li1,53.5900,43.5200,0.000025
PHY_EDGE_ROW_11_Right_11,VGND,li1,53.5900,43.5200,0.000025
PHY_EDGE_ROW_10_Right_10,VGND,li1,53.5900,38.0800,0.000025
PHY_EDGE_ROW_9_Right_9,VGND,li1,53.5900,38.0800,0.000025
PHY_EDGE_ROW_8_Right_8,VGND,li1,53.5900,32.6400,0.000015
PHY_EDGE_ROW_7_Right_7,VGND,li1,53.5900,32.6400,0.000015
PHY_EDGE_ROW_6_Right_6,VGND,li1,53.5900,27.2000,0.000014
PHY_EDGE_ROW_5_Right_5,VGND,li1,53.5900,27.2000,0.000014
PHY_EDGE_ROW_4_Right_4,VGND,li1,53.5900,21.7600,0.000024
PHY_EDGE_ROW_3_Right_3,VGND,li1,53.5900,21.7600,0.000024
PHY_EDGE_ROW_2_Right_2,VGND,li1,53.5900,16.3200,0.000019
PHY_EDGE_ROW_1_Right_1,VGND,li1,53.5900,16.3200,0.000019
PHY_EDGE_ROW_0_Right_0,VGND,li1,53.5900,10.8800,0.000017
_251_,VGND,li1,42.5500,16.3200,0.000018
_250_,VGND,li1,21.1600,16.3200,0.000012
_249_,VGND,li1,16.5600,21.7600,0.000012
_248_,VGND,li1,12.1900,21.7600,0.000012
_247_,VGND,li1,14.4900,21.7600,0.000012
_246_,VGND,li1,12.8800,27.2000,0.000013
_245_,VGND,li1,25.0700,27.2000,0.000008
_244_,VGND,li1,34.9600,27.2000,0.000011
_243_,VGND,li1,29.4400,27.2000,0.000009
_242_,VGND,li1,22.0800,27.2000,0.000010
_241_,VGND,li1,24.1500,16.3200,0.000011
_240_,VGND,li1,28.0600,16.3200,0.000012
_239_,VGND,li1,17.2500,16.3200,0.000012
_238_,VGND,li1,20.0100,21.7600,0.000012
_237_,VGND,li1,18.6300,16.3200,0.000012
_236_,VGND,li1,22.7700,16.3200,0.000011
_235_,VGND,li1,16.7900,16.3200,0.000012
_234_,VGND,li1,25.5300,21.7600,0.000010
_233_,VGND,li1,28.2900,27.2000,0.000009
_232_,VGND,li1,27.3700,32.6400,0.000009
_231_,VGND,li1,25.7600,27.2000,0.000008
_230_,VGND,li1,23.2300,27.2000,0.000009
_229_,VGND,li1,15.8700,27.2000,0.000012
_228_,VGND,li1,15.6400,27.2000,0.000012
_227_,VGND,li1,17.7100,27.2000,0.000011
_226_,VGND,li1,22.0800,48.9600,0.000013
_225_,VGND,li1,34.9600,54.4000,0.000017
_224_,VGND,li1,25.7600,21.7600,0.000010
_223_,VGND,li1,27.8300,21.7600,0.000012
_222_,VGND,li1,25.9900,16.3200,0.000010
_221_,VGND,li1,28.5200,48.9600,0.000014
_220_,VGND,li1,9.8900,27.2000,0.000013
_219_,VGND,li1,12.1900,27.2000,0.000013
_218_,VGND,li1,9.8900,27.2000,0.000013
_217_,VGND,li1,31.0500,48.9600,0.000016
_216_,VGND,li1,25.3000,48.9600,0.000012
_215_,VGND,li1,25.5300,48.9600,0.000012
_214_,VGND,li1,24.1500,54.4000,0.000010
_213_,VGND,li1,20.7000,54.4000,0.000011
_212_,VGND,li1,33.1200,48.9600,0.000017
_211_,VGND,li1,34.9600,32.6400,0.000011
_210_,VGND,li1,33.5800,43.5200,0.000020
_209_,VGND,li1,39.1000,48.9600,0.000020
_208_,VGND,li1,28.7500,54.4000,0.000014
_207_,VGND,li1,20.2400,48.9600,0.000014
_206_,VGND,li1,39.3300,54.4000,0.000017
_205_,VGND,li1,32.8900,54.4000,0.000016
_204_,VGND,li1,38.4100,48.9600,0.000019
_203_,VGND,li1,37.0300,48.9600,0.000019
_202_,VGND,li1,35.1900,48.9600,0.000018
_201_,VGND,li1,13.1100,43.5200,0.000026
_200_,VGND,li1,16.3300,43.5200,0.000022
_199_,VGND,li1,23.2300,43.5200,0.000017
_198_,VGND,li1,25.7600,43.5200,0.000015
_197_,VGND,li1,26.4500,43.5200,0.000016
_196_,VGND,li1,30.1300,38.0800,0.000018
_195_,VGND,li1,13.5700,43.5200,0.000024
_194_,VGND,li1,14.4900,48.9600,0.000014
_193_,VGND,li1,12.4200,38.0800,0.000021
_192_,VGND,li1,9.6600,38.0800,0.000022
_191_,VGND,li1,9.8900,43.5200,0.000027
_190_,VGND,li1,13.8000,32.6400,0.000011
_189_,VGND,li1,23.2300,48.9600,0.000013
_188_,VGND,li1,19.5500,48.9600,0.000014
_187_,VGND,li1,17.2500,48.9600,0.000014
_186_,VGND,li1,17.4800,38.0800,0.000019
_185_,VGND,li1,13.1100,38.0800,0.000021
